# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "Homo_sapiens.GRCh38.96.chromosome.22.gff3" "-g" "exon_id" "-o" "counts.txt" "s1-unshuffled-pe-trim.sorted.bam" "s2-unshuffled-pe-trim.sorted.bam" "s3-unshuffled-pe-trim.sorted.bam" "s4-unshuffled-pe-trim.sorted.bam" "s5-unshuffled-pe-trim.sorted.bam" "s1-shuffled-pe-trim.sorted.bam" "s1-unshuffled-pe-trim.sorted.bam" "s2-shuffled-pe-trim.sorted.bam" "s2-unshuffled-pe-trim.sorted.bam" "s3-shuffled-pe-trim.sorted.bam" "s3-unshuffled-pe-trim.sorted.bam" "s4-shuffled-pe-trim.sorted.bam" "s4-unshuffled-pe-trim.sorted.bam" "s5-shuffled-pe-trim.sorted.bam" "s5-unshuffled-pe-trim.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	s1-unshuffled-pe-trim.sorted.bam	s2-unshuffled-pe-trim.sorted.bam	s3-unshuffled-pe-trim.sorted.bam	s4-unshuffled-pe-trim.sorted.bam	s5-unshuffled-pe-trim.sorted.bam	s1-shuffled-pe-trim.sorted.bam	s1-unshuffled-pe-trim.sorted.bam	s2-shuffled-pe-trim.sorted.bam	s2-unshuffled-pe-trim.sorted.bam	s3-shuffled-pe-trim.sorted.bam	s3-unshuffled-pe-trim.sorted.bam	s4-shuffled-pe-trim.sorted.bam	s4-unshuffled-pe-trim.sorted.bam	s5-shuffled-pe-trim.sorted.bam	s5-unshuffled-pe-trim.sorted.bam
ENSE00001817893	22	20989649	20989682	+	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001813266	22	20990386	20990969	+	584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001902919	22	20992794	20992848	+	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003817445	22	20990815	20991829	+	1015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003823328	22	20991492	20991829	+	338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001844243	22	20994870	20995872	+	1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003823907	22	20997232	20998972	+	1741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001912571	22	20991736	20991829	+	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001855194	22	20992214	20992532	+	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001902547	22	20991781	20991829	+	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001829887	22	20992794	20992897	+	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001847141	22	20994104	20994300	+	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003830066	22	20993348	20993468	+	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003814530	22	20997232	20998821	+	1590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001644496	22	20994227	20994269	+	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001754008	22	20994674	20994727	+	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003592563	22	20994870	20995026	+	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003576034	22	20995368	20995484	+	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001950423	22	20994477	20994727	+	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001855585	22	20994915	20995026	+	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001910460	22	20995963	20995999	+	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003824166	22	20994586	20994727	+	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003827294	22	20994915	20995026	+	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003507290	22;22	20995368;20995368	20995484;20995484	+;+	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001793437	22	20997232	20998924	+	1693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001693205	22	20994661	20994727	+	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001788320	22	20996696	20996712	+	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001645275	22	20994906	20995026	+	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001691295	22	20995763	20995872	+	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001740934	22	20997232	20997541	+	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001809687	22	20995089	20995872	+	784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001918826	22	20995963	20996801	+	839	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1
ENSE00001944916	22	20997232	20999032	+	1801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001928056	22	20995788	20995872	+	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001900796	22	20996696	20996966	+	271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001819376	22	20997232	20997769	+	538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001870565	22	20999104	21000432	-	1329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003636366	22	21000647	21000787	-	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001874831	22	21001256	21001742	-	487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001899849	22	20999772	21000432	-	661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003490417	22;22	21000647;21000647	21000787;21000787	-;-	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00000879291	22;22	21001256;21001256	21001411;21001411	-;-	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001825528	22	21001832	21002086	-	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001814620	22	20999773	21000432	-	660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001916788	22	21000647	21001795	-	1149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001910670	22	20999777	21000432	-	656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003557425	22	21001832	21001911	-	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001852531	22	21002086	21002196	-	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001884116	22	20999802	21000432	-	631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001820686	22;22	21000647;21000647	21001411;21001411	-;-	765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001239009	22	21001832	21002106	-	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001861949	22	21000230	21000432	-	203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003609928	22	21001832	21001911	-	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001536596	22	21002086	21002117	-	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001907493	22	21000272	21000432	-	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001817077	22	21000647	21000729	-	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001834325	22	21001256	21001518	-	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001831701	22	21001292	21001911	-	620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001899188	22	21002086	21002118	-	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001628956	22	21001886	21002829	+	944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001592472	22	21009350	21010125	+	776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001676787	22	21001922	21002829	+	908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001778271	22	21002918	21003272	+	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001782081	22	21002208	21002829	+	622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001658860	22	21008667	21010342	+	1676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001703412	22	21002895	21003177	-	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001641374	22	21008779	21009453	-	675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001690445	22	21008193	21009453	-	1261	1	2	1	3	1	0	1	0	2	0	1	0	3	0	1
ENSE00001727218	22;22	21011384;21011384	21011590;21011590	-;-	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001315318	22	21013782	21014287	-	506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001748612	22	21008637	21009453	-	817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001767831	22	21013042	21013184	-	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001602169	22	21013782	21014292	-	511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00002828546	22	21009808	21009876	+	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003607003	22;22	21015942;21015942	21016092;21016092	+;+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00002810344	22	21017921	21017942	+	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001881723	22	21015027	21015338	+	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003567732	22;22;22;22;22	21015942;21015942;21015942;21015942;21015942	21016092;21016092;21016092;21016092;21016092	+;+;+;+;+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003610400	22;22	21017989;21017989	21018060;21018060	+;+	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003529221	22;22	21022676;21022676	21022751;21022751	+;+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003511006	22;22	21022942;21022942	21023035;21023035	+;+	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003606892	22;22	21023118;21023118	21023198;21023198	+;+	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003685177	22;22	21023275;21023275	21023416;21023416	+;+	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003680336	22;22	21023509;21023509	21023618;21023618	+;+	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003679555	22;22	21025805;21025805	21025898;21025898	+;+	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003641122	22;22	21026011;21026011	21026076;21026076	+;+	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003667669	22;22	21026252;21026252	21026329;21026329	+;+	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001347509	22	21026420	21028830	+	2411	2	0	2	2	2	0	2	0	0	0	2	0	2	0	2
ENSE00001603597	22	21015153	21015260	+	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003655332	22;22	21022942;21022942	21023035;21023035	+;+	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003637449	22;22;22	21023118;21023118;21023118	21023198;21023198;21023198	+;+;+	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003475051	22;22;22	21023275;21023275;21023275	21023416;21023416;21023416	+;+;+	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003661005	22;22;22;22	21023509;21023509;21023509;21023509	21023618;21023618;21023618;21023618	+;+;+;+	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003471010	22;22;22;22	21025805;21025805;21025805;21025805	21025898;21025898;21025898;21025898	+;+;+;+	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003656108	22;22;22	21026011;21026011;21026011	21026076;21026076;21026076	+;+;+	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003618304	22;22;22	21026252;21026252;21026252	21026329;21026329;21026329	+;+;+	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001706273	22	21026420	21028008	+	1589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001550508	22	21015170	21015260	+	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001548197	22	21026420	21027198	+	779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001562819	22	21015175	21015338	+	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001834397	22	21017921	21018791	+	871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001694083	22	21015183	21015338	+	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001684700	22	21017921	21018060	+	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003499802	22;22	21022942;21022942	21023035;21023035	+;+	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001722427	22	21023118	21023152	+	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003579883	22	21015187	21015333	+	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003638815	22	21015942	21016092	+	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003687581	22	21017989	21018060	+	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003512604	22	21022676	21022751	+	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003482249	22;22	21026420;21026420	21026957;21026957	+;+	538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001748974	22	21027508	21028008	+	501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001592483	22	21015190	21015338	+	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001609268	22	21027508	21028013	+	506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001824543	22	21023349	21023416	+	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001809890	22	21026011	21026329	+	319	2	0	10	18	12	0	2	0	0	0	10	0	18	0	12
ENSE00001764431	22	21026420	21026597	+	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003806096	22	21011384	21011590	-	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003801320	22	21012527	21012658	-	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003804113	22	21013042	21013184	-	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003810285	22	21014079	21014217	-	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001551492	22;22	21028718;21028718	21029230;21029230	-;-	513	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0
ENSE00000651015	22;22	21029336;21029336	21029444;21029444	-;-	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00000651016	22;22	21029711;21029711	21030351;21030351	-;-	641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001550173	22	21030831	21031855	-	1025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001751281	22	21032531	21032549	-	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001493914	22	21030831	21031852	-	1022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001493915	22	21032531	21032561	-	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001596859	22	21031568	21031852	-	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001762341	22	21032710	21032840	-	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001703338	22	21031357	21031503	+	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001731676	22	21042703	21043055	+	353	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
ENSE00001660360	22	21043907	21043969	+	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001499850	22	21034176	21034272	-	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001603327	22	21035243	21035436	-	194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001671500	22;22	21042343;21042343	21042414;21042414	-;-	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001629439	22;22	21044149;21044149	21044299;21044299	-;-	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001677436	22	21044962	21045012	-	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001704205	22	21044884	21045017	-	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003618695	22	21045960	21046125	+	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003645500	22;22	21047356;21047356	21047498;21047498	+;+	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003473894	22;22	21047884;21047884	21049157;21049157	+;+	1274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003591684	22;22	21052249;21052249	21052358;21052358	+;+	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003570620	22;22	21053360;21053360	21053475;21053475	+;+	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003567574	22;22	21055098;21055098	21055176;21055176	+;+	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001941509	22;22	21056936;21056936	21057200;21057200	+;+	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003502860	22;22	21060373;21060373	21060577;21060577	+;+	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001947931	22	21061724	21064168	+	2445	5	4	5	10	6	0	5	0	4	0	5	1	10	0	6
ENSE00003478762	22	21045981	21046125	+	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001809420	22	21049314	21049456	+	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001924446	22	21053808	21053997	+	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001850719	22	21061724	21062276	+	553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001493908	22	21045987	21046125	+	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003537485	22	21047356	21047498	+	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001656293	22	21047884	21048016	+	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001777107	22	21048951	21049157	+	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003665361	22	21052249	21052358	+	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003550910	22	21053360	21053475	+	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003666167	22	21055098	21055176	+	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001675618	22	21057105	21057200	+	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001684710	22	21060373	21060528	+	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001937164	22	21056530	21057200	+	671	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSE00001908655	22	21060373	21060397	+	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00002072062	22	21065462	21065686	+	225	8	0	17	6	9	0	8	0	0	0	17	0	6	0	9
ENSE00002076785	22	21066951	21067092	+	142	5	1	29	18	26	0	5	0	1	0	29	0	18	0	26
ENSE00001585529	22	21067416	21068076	+	661	22	5	54	42	57	0	22	0	5	0	54	0	42	0	57
ENSE00001614140	22	21069801	21070097	+	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003814072	22	21071082	21071215	-	134	28	3	24	36	37	0	28	0	3	0	24	0	36	0	37
ENSE00003813745	22	21080881	21081018	-	138	27	15	63	91	89	0	27	0	15	0	63	0	91	0	89
ENSE00002313154	22	21103016	21103226	+	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00002305775	22	21115929	21116001	+	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00002230431	22;22	21117124;21117124	21117258;21117258	+;+	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00002310928	22	21118041	21118309	+	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001639737	22;22	21118787;21118787	21118949;21118949	+;+	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001810160	22	21120804	21121784	+	981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003759351	22	21114490	21117524	+	3035	2	0	0	0	1	0	2	0	0	0	0	0	0	0	1
ENSE00001703874	22	21115929	21116068	+	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001656457	22	21118204	21118309	+	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001782365	22	21119669	21119758	+	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001551048	22	21118590	21118949	+	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001642374	22	21120804	21122285	+	1482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001788107	22	21114607	21116187	-	1581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001755632	22	21117080	21117994	-	915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001671221	22	21118652	21118780	-	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001654062	22	21120814	21120920	-	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001651501	22	21121976	21122351	-	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001640075	22	21122727	21124451	-	1725	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSE00001316540	22	21125660	21128063	-	2404	0	0	1	2	0	0	0	0	0	2	1	0	2	0	0
ENSE00001715453	22	21141624	21142371	-	748	4	2	10	2	2	0	4	1	2	0	10	0	2	0	2
ENSE00001703012	22	21167758	21167969	+	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001720259	22;22;22;22;22;22	21169946;21169946;21169946;21169946;21169946;21169946	21170004;21170004;21170004;21170004;21170004;21170004	+;+;+;+;+;+	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001718401	22;22;22;22;22	21170473;21170473;21170473;21170473;21170473	21170497;21170497;21170497;21170497;21170497	+;+;+;+;+	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001660976	22;22;22;22;22;22	21173444;21173444;21173444;21173444;21173444;21173444	21173530;21173530;21173530;21173530;21173530;21173530	+;+;+;+;+;+	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001792082	22;22;22;22;22	21178431;21178431;21178431;21178431;21178431	21178496;21178496;21178496;21178496;21178496	+;+;+;+;+	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001672583	22;22;22;22;22	21180496;21180496;21180496;21180496;21180496	21180557;21180557;21180557;21180557;21180557	+;+;+;+;+	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001662983	22;22;22;22;22	21181023;21181023;21181023;21181023;21181023	21181056;21181056;21181056;21181056;21181056	+;+;+;+;+	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001706113	22	21183271	21185587	+	2317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001595365	22	21186121	21186193	+	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001726049	22	21186420	21186460	+	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001697956	22	21186923	21187077	+	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001661839	22	21191722	21192156	+	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001671021	22	21167829	21167969	+	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001747411	22	21186121	21187077	+	957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001755097	22	21191722	21192149	+	428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001768491	22;22	21167853;21167853	21167969;21167969	+;+	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001730744	22	21170473	21170852	+	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001785360	22	21170473	21170605	+	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001736802	22	21167885	21167969	+	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001692287	22	21171081	21171208	+	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001619896	22	21183271	21183322	+	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001781334	22	21169813	21170004	+	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001784743	22	21169865	21170004	+	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001787957	22	21170473	21170655	+	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001735762	22	21181452	21182974	+	1523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001749809	22	21177892	21178549	-	658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001643603	22	21179760	21179875	-	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003807650	22	21193360	21193415	-	56	0	0	3	3	0	0	0	0	0	0	3	0	3	0	0
ENSE00003804147	22	21203454	21203755	-	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00003810421	22	21203454	21203631	-	178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001678831	22	21207973	21208284	-	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001667203	22;22	21208589;21208589	21208702;21208702	-;-	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001679774	22;22	21208784;21208784	21208896;21208896	-;-	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001136587	22	21208999	21209096	-	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001693745	22;22	21209359;21209359	21209546;21209546	-;-	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001601532	22;22	21213065;21213065	21213201;21213201	-;-	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001714500	22;22	21213725;21213725	21213874;21213874	-;-	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001743046	22;22	21215925;21215925	21216078;21216078	-;-	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001769816	22;22	21216471;21216471	21216667;21216667	-;-	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001774147	22;22	21221866;21221866	21221952;21221952	-;-	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSE00001740087	22;22	21222084;21222084	21222214;21222214	-;-	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
